id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,When the Party's Over,Kina Grannis,acoustic,melancholic,0.171,123.56,0.23,0.52,0.853
2,Living in the Shadows,Matthew Perryman Jones,acoustic,angry,0.79,175.97,0.197,0.418,0.0284
3,Bella Luna,Jason Mraz,acoustic,focused,0.454,120.06,0.33,0.755,0.757
4,Leave The Door Open - Acoustic,Blame Jones,acoustic,chill,0.305,148.02,0.52,0.817,0.874
5,Love You To Death,Chord Overstreet,acoustic,melancholic,0.344,147.92,0.0987,0.574,0.421
6,If I Ain't Got You - Acoustic,John Adams,acoustic,melancholic,0.15,104.02,0.361,0.652,0.923
7,I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,acoustic,melancholic,0.213,160.39,0.16,0.322,0.611
8,The Remedy (I Won't Worry),Jason Mraz,acoustic,euphoric,0.867,94.52,0.795,0.589,0.041
9,Night Bus,Gabrielle Aplin,acoustic,intense,0.815,118.23,0.362,0.458,0.0037
10,Stand by Me,Boyce Avenue,acoustic,melancholic,0.266,115.19,0.307,0.728,0.872
11,Come on In,The Bridge City Sinners,acoustic,euphoric,0.911,114.78,0.851,0.544,0.661
12,I'd Rather Be With You [Radio Edit],Joshua Radin,acoustic,intense,0.671,82.34,0.397,0.512,0.0314
13,Bleeding Love,Boyce Avenue,acoustic,melancholic,0.295,107.11,0.369,0.737,0.83
14,Skylight,Gabrielle Aplin,acoustic,focused,0.566,159.91,0.362,0.524,0.0411
15,Heaven Knows,Five For Fighting,acoustic,intense,0.845,97.63,0.392,0.6,0.048
16,No Air,Lúc,acoustic,melancholic,0.116,129.98,0.21,0.674,0.862
17,Song To Sing When I'm Lonely,John Frusciante,acoustic,energetic,0.673,114.24,0.419,0.629,0.294
18,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,focused,0.455,202.02,0.564,0.593,0.366
19,Winter Wonderland,Jason Mraz,acoustic,romantic,0.309,145.36,0.664,0.62,0.788
20,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,melancholic,0.145,90.08,0.218,0.492,0.872
21,Better Together,Us The Duo,acoustic,chill,0.311,109.89,0.553,0.761,0.647
22,American Beauty,Drew Holcomb & The Neighbors,acoustic,melancholic,0.169,167.83,0.178,0.645,0.844
23,21 Guns,Bailey Jehl,acoustic,melancholic,0.119,145.19,0.279,0.44,0.927
24,Shotgun,Us The Duo,acoustic,romantic,0.263,115.85,0.868,0.806,0.787
25,If It Kills Me,Jason Mraz,acoustic,focused,0.429,143.79,0.52,0.633,0.0444
26,Firework,Canyon City,acoustic,chill,0.32,92.39,0.425,0.51,0.823
27,Creep,Kina Grannis,acoustic,melancholic,0.103,133.06,0.179,0.585,0.801
28,Stones,Front Porch Step,acoustic,energetic,0.776,96.0,0.402,0.636,0.0066
29,Young And In Love,Ingrid Michaelson,acoustic,focused,0.575,119.97,0.222,0.626,0.0694
30,More Than You Know - Acoustic Covers of Popular Songs,Filip Nordin,acoustic,chill,0.319,98.02,0.501,0.776,0.791
31,Mercy,Sharyn,afrobeat,focused,0.434,141.94,0.267,0.765,0.366
32,Could've Been So Good,The New Mastersounds;Eddie Roberts,afrobeat,happy,0.675,119.79,0.748,0.589,0.515
33,Oxalá Babá,Africania,afrobeat,happy,0.671,100.0,0.933,0.893,0.646
34,Bra,Cymande,afrobeat,euphoric,0.769,117.73,0.891,0.676,0.0054
35,Doudou,Ali Farka Touré;Toumani Diabaté,afrobeat,romantic,0.397,171.01,0.69,0.404,0.848
36,Mi Último Fracaso,Juanafé;La Flor del Recuerdo,afrobeat,melancholic,0.332,164.1,0.305,0.457,0.791
37,Black Woman Experience - Mixed,Geraldo Pino;The Heartbeats,afrobeat,intense,0.736,123.33,0.372,0.719,0.447
38,It Came Over Me,The Poets Of Rhythm,afrobeat,focused,0.393,60.59,0.533,0.438,0.41
39,Tô Pra Ver,Criolo;Rael,afrobeat,energetic,0.818,90.57,0.599,0.637,0.19
40,"Soul Buster, Pt. 1",The Mighty Imperials;Joseph Henry,afrobeat,euphoric,0.968,105.66,0.88,0.601,0.0643
41,Nubes (feat. Shigeto),Niña Dioz;Shigeto,afrobeat,energetic,0.855,115.0,0.527,0.891,0.0234
42,JAJAJA,Plastilina Mosh,afrobeat,euphoric,0.889,122.76,0.935,0.714,0.0483
43,Eledumare,Limoblaze,afrobeat,euphoric,0.854,103.02,0.816,0.709,0.492
44,Curiche,Newen Afrobeat,afrobeat,euphoric,0.711,110.06,0.861,0.79,0.221
45,Can You Get It,Mandrill,afrobeat,euphoric,0.912,122.5,0.798,0.858,0.173
46,Go Back,Tony Allen;Damon Albarn,afrobeat,euphoric,0.911,82.34,0.724,0.501,0.0342
47,Lá Vem Você,Criolo,afrobeat,happy,0.597,81.98,0.961,0.784,0.685
48,Shuffering and Shmiling,Fela Kuti,afrobeat,energetic,0.837,123.02,0.495,0.825,0.315
49,Drum Ting,Jackie Mittoo,afrobeat,happy,0.637,83.35,0.964,0.735,0.715
50,El Lobo,Wganda Kenya,afrobeat,euphoric,0.862,110.19,0.844,0.528,0.182
51,Água (Versão Estendida),BaianaSystem;Orquestra Afrosinfônica;Antonio Carlos & Jocafi,afrobeat,euphoric,0.8,97.0,0.763,0.74,0.211
52,Women Of The Sun,Hugh Masekela,afrobeat,romantic,0.478,89.94,0.959,0.806,0.77
53,Avi-Vo - Remastered,Lafayette Afro Rock Band,afrobeat,happy,0.868,118.12,0.693,0.709,0.428
54,Stop That Train,Ernest Ranglin,afrobeat,romantic,0.375,81.63,0.62,0.766,0.297
55,Influence of Worship,Eddie Neblett,afrobeat,euphoric,0.702,82.83,0.711,0.536,0.2
